title,author,length
Alien: Colony War,David M. Barnett,Length: 9 hrs and 4 mins
"The Siege, Part One",Kris Michaels,Length: 6 hrs and 30 mins
Lord of Embers,C. N. Crawford,Length: 6 hrs and 39 mins
Spin Dictators,"Sergei Guriev,Daniel Treisman",Length: 9 hrs and 23 mins
Win Your Breakup,Natasha Adamo,Length: 4 hrs and 20 mins
Amp It Up,Frank Slootman,Length: 5 hrs and 35 mins
The Sandman: Act II,"Neil Gaiman,Dirk Maggs",Length: 13 hrs and 47 mins
Blessed Time 3: Dakkora's Legacy,Cale Plamann,Length: 9 hrs and 24 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
The Secret,Rhonda Byrne,Length: 4 hrs and 24 mins
Teachers These Days,"Jody Carrington,Laurie McIntosh",Length: 7 hrs and 16 mins
The Anatomy of Peace (Fourth Edition),The Arbinger Institute,Length: 7 hrs and 39 mins
The Overnight Guest,Heather Gudenkauf,Length: 9 hrs and 29 mins
The Locked Door,Freida McFadden,Length: 8 hrs and 15 mins
Wild Creative,Tami Lynn Kent,Length: 8 hrs and 31 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 17 mins
Quiet,Susan Cain,Length: 10 hrs and 39 mins
Gentle and Lowly,Dane C. Ortlund,Length: 5 hrs and 17 mins
Like a Sister,Kellye Garrett,Length: 11 hrs and 46 mins
Against All Odds,Alex Kershaw,Length: 8 hrs and 51 mins
Woman on Fire,Lisa Barr,Length: 12 hrs and 59 mins
Nine Lives,Peter Swanson,Length: 7 hrs and 11 mins
Death from High Places,Benedict Brown,Length: 2 hrs and 33 mins
Nine Marks of a Healthy Church,Mark Dever,Length: 8 hrs and 55 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
The Name of the Wind,Patrick Rothfuss,Length: 27 hrs and 55 mins
How Do You Survive with Us?,"Ki Brightly,M.D. Gregory",Length: 10 hrs and 45 mins
L'affaire Alaska Sanders,Joël Dicker,Length: 17 hrs and 22 mins
Biomancer,Shemer Kuznits,Length: 17 hrs and 22 mins
Jake's Magical Market,J.R. Mathews,Length: 20 hrs and 41 mins
World Between,Sarah Lyons Fleming,Length: 16 hrs and 40 mins
A History of Wild Places,Shea Ernshaw,Length: 11 hrs and 59 mins
He Gets That from Me,Jacqueline Friedland,Length: 9 hrs and 26 mins
Building Microservices,Sam Newman,Length: 21 hrs and 12 mins
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
The Ex,Freida McFadden,Length: 8 hrs and 33 mins
The Light We Lost,Kyla Stone,Length: 12 hrs and 13 mins
Finding Me,Viola Davis,Length: 8 hrs and 30 mins
An Emperor's Gamble,J.D.L. Rosell,Length: 15 hrs and 7 mins
One at a Time,Kyle Idleman,Length: 5 hrs and 23 mins
"Index, a History of The",Dennis Duncan,Length: 8 hrs and 9 mins
Manhunt,Gretchen Felker-Martin,Length: 10 hrs and 37 mins
Revealing Revelation,"Amir Tsarfati,Rick Yohn",Length: 7 hrs and 13 mins
Poison Ivy,Helena Marchmont,Length: 3 hrs and 47 mins
When Everything's on Fire,Brian Zahnd,Length: 6 hrs and 49 mins
Anchored,"Deb Dana,Stephen Porges PhD - Foreword by",Length: 6 hrs and 22 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
A Body at a Boarding School,Benedict Brown,Length: 8 hrs and 2 mins
Dragon Ever After,Louisa Masters,Length: 7 hrs and 3 mins
Collapse,Vladislav M. Zubok,Length: 23 hrs and 50 mins
Apocalypse Knights 1,DB King,Length: 13 hrs and 14 mins
Spoken Bones,N.C. Lewis,Length: 9 hrs and 52 mins
Ten Steps to Nanette,Hannah Gadsby,Length: 13 hrs and 47 mins
Why Has Nobody Told Me This Before?,Julie Smith,Length: 7 hrs and 16 mins
Murder and the Mermaid,L.B. Hathaway,Length: 3 hrs and 21 mins
Fool Me Twice,J. M. Dalgliesh,Length: 8 hrs and 23 mins
"Solo Leveling, Vol. 3 (Novel)",Chugong,Length: 8 hrs and 7 mins
"The Saga of Tanya the Evil, Vol. 3 (Light Novel)",Carlo Zen,Length: 9 hrs and 16 mins
The Golden Couple,"Greer Hendricks,Sarah Pekkanen",Length: 11 hrs and 3 mins
Driven by Intention,"Michelle Gadsden-Williams,Erika Roman Saint-Pierre",Length: 5 hrs and 51 mins
Hell Bent,Leigh Bardugo,Length: 10 hrs
Stuck with You,Ali Hazelwood,Length: 3 hrs and 22 mins
Not One Inch,M.E. Sarotte,Length: 15 hrs and 54 mins
Letters to You,Jazz Thornton,Length: 3 hrs and 40 mins
