title,author,length
The Everything Store,Brad Stone,Length: 13 hrs
Skunk Works,"Ben R. Rich,Leo Janos",Length: 12 hrs and 8 mins
Setting the Table,Danny Meyer,Length: 5 hrs and 33 mins
Evicted,Matthew Desmond,Length: 11 hrs and 3 mins
Winter Is Coming,Garry Kasparov,Length: 11 hrs and 41 mins
Mountains Beyond Mountains,Tracy Kidder,Length: 10 hrs and 50 mins
Rezoom,"Susan Peirce Thompson PhD,Everett Considine",Length: 9 hrs and 58 mins
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,Length: 3 hrs and 10 mins
The North Water,Ian McGuire,Length: 9 hrs and 40 mins
127 Hours: Between a Rock and a Hard Place (Movie Tie- In),Aron Ralston,Length: 5 hrs and 22 mins
Blood Scion,Deborah Falaye,Length: 15 hrs and 27 mins
The Viscount Who Loved Me,Julia Quinn,Length: 12 hrs and 23 mins
Market Wizards,"Jack D. Schwager,Bruce Kovner,Richard Dennis,Paul Tudor Jones,Michael Steinhardt,Ed Seykota,Marty Schwartz,Tom Baldwin",Length: 14 hrs and 41 mins
Go Pro - 7 Steps to Becoming a Network Marketing Professional,Eric Worre,Length: 2 hrs and 49 mins
Inner Healing and Deliverance Handbook,Jennifer Eivaz,Length: 5 hrs and 40 mins
My Husband's Wife,Jane Corry,Length: 13 hrs and 50 mins
Vigor Mortis: Volume 2,"Natalie Maher,Thundamoo",Length: 22 hrs and 28 mins
The Choice,Nora Roberts,Length: 10 hrs
Wolf's Call,Auryn Hadley,Length: 16 hrs and 56 mins
I Contain Multitudes,Ed Yong,Length: 9 hrs and 52 mins
I Will Die in a Foreign Land,Kalani Pickhart,Length: 8 hrs and 5 mins
Beaten Black and Blue,Brandon Tatum,Length: 4 hrs and 39 mins
Positive Affirmations for Black Women,Mercedes Humphries,Length: 4 hrs and 5 mins
Doctor Scandalous,"J. Saman,Julie Saman",Length: 10 hrs and 58 mins
Fatal Affair,Marie Force,Length: 10 hrs and 37 mins
UnSelfie,Michele Borba Dr.,Length: 8 hrs and 22 mins
Miss Pearly's Girls,ReShonda Tate Billingsley,Length: 10 hrs and 28 mins
The Origins of Totalitarianism,Hannah Arendt,Length: 23 hrs and 23 mins
The Other Wes Moore,"Wes Moore,Tavis Smiley - afterword",Length: 6 hrs and 12 mins
Hotel on the Corner of Bitter and Sweet,Jamie Ford,Length: 10 hrs and 52 mins
The Marriage Secret,Carey Baldwin,Length: 8 hrs and 37 mins
The Best and the Brightest,David Halberstam,Length: 37 hrs and 4 mins
The Lovely Bones,Alice Sebold,Length: 10 hrs and 53 mins
Go Pro - 7 Steps to Becoming a Network Marketing Professional,Eric Worre,Length: 2 hrs and 49 mins
Inner Healing and Deliverance Handbook,Jennifer Eivaz,Length: 5 hrs and 40 mins
My Husband's Wife,Jane Corry,Length: 13 hrs and 50 mins
Vigor Mortis: Volume 2,"Natalie Maher,Thundamoo",Length: 22 hrs and 28 mins
The Choice,Nora Roberts,Length: 10 hrs
Wolf's Call,Auryn Hadley,Length: 16 hrs and 56 mins
I Contain Multitudes,Ed Yong,Length: 9 hrs and 52 mins
I Will Die in a Foreign Land,Kalani Pickhart,Length: 8 hrs and 5 mins
Beaten Black and Blue,Brandon Tatum,Length: 4 hrs and 39 mins
Positive Affirmations for Black Women,Mercedes Humphries,Length: 4 hrs and 5 mins
Doctor Scandalous,"J. Saman,Julie Saman",Length: 10 hrs and 58 mins
Fatal Affair,Marie Force,Length: 10 hrs and 37 mins
UnSelfie,Michele Borba Dr.,Length: 8 hrs and 22 mins
Miss Pearly's Girls,ReShonda Tate Billingsley,Length: 10 hrs and 28 mins
The Origins of Totalitarianism,Hannah Arendt,Length: 23 hrs and 23 mins
The Other Wes Moore,"Wes Moore,Tavis Smiley - afterword",Length: 6 hrs and 12 mins
Hotel on the Corner of Bitter and Sweet,Jamie Ford,Length: 10 hrs and 52 mins
The Marriage Secret,Carey Baldwin,Length: 8 hrs and 37 mins
The Best and the Brightest,David Halberstam,Length: 37 hrs and 4 mins
The Lovely Bones,Alice Sebold,Length: 10 hrs and 53 mins
